age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,Income over 50k? 0=no 1=yes
33,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,40,1
37,Federal-gov,Some-college,Separated,Exec-managerial,Not-in-family,White,Male,55,1
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,45,1
40,Local-gov,Bachelors,Divorced,Tech-support,Not-in-family,White,Female,40,1
58,Private,HS-grad,Widowed,Craft-repair,Unmarried,White,Male,52,1
36,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,1
60,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,48,1
58,Private,Bachelors,Widowed,Exec-managerial,Unmarried,White,Male,40,1
29,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,40,1
56,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,55,1
39,Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,50,1
31,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,1
42,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,1
25,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,40,1
40,Local-gov,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Male,50,1
47,Private,HS-grad,Divorced,Craft-repair,Not-in-family,Black,Male,44,1
46,Private,Bachelors,Divorced,Sales,Not-in-family,White,Male,40,1
48,State-gov,HS-grad,Divorced,Craft-repair,Own-child,White,Male,40,1
44,Private,Assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Male,40,1
43,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,43,1
35,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,40,1
43,Private,Bachelors,Separated,Exec-managerial,Unmarried,White,Male,40,1
59,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,60,1
29,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,1
24,Private,Assoc-acdm,Separated,Craft-repair,Unmarried,Asian-Pac-Islander,Male,40,1
35,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,45,1
31,Local-gov,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,40,1
30,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,50,1
64,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,50,1
46,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,55,1
67,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,35,0
66,Local-gov,Some-college,Divorced,Other-service,Other-relative,White,Female,40,1
70,Local-gov,Masters,Never-married,Prof-specialty,Unmarried,White,Female,50,1
67,Local-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,50,1
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
48,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,1
34,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
50,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
31,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
55,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1
29,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
37,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
48,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,40,1
32,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,50,1
48,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
62,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
44,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,40,1
43,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,1
46,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,1
60,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
53,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
23,Self-emp-not-inc,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,60,1
44,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,52,1
56,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
47,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
55,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
47,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,55,1
38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
43,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,1
37,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,60,1
38,Federal-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,33,1
28,Private,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Male,50,1
52,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
45,Federal-gov,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,1
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,1
46,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
38,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,1
53,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
52,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,Black,Male,40,1
44,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,1
33,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,38,1
39,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,60,1
50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,50,1
27,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,70,1
33,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
41,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,44,1
38,Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,1
41,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,1
48,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,40,1
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,1
45,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
34,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,1
47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,1
56,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
64,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1
47,Local-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,Black,Male,50,1
45,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
39,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
55,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,38,1
63,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,1
44,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
38,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,1
39,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,1
44,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
37,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,1
47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,55,1
58,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
34,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
38,Federal-gov,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,42,1
61,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,1
38,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,1
41,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,1
36,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,1
35,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
53,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,1
56,Private,Bachelors,Married-civ-spouse,Sales,Husband,Black,Male,45,1
34,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1
41,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,55,1
32,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
24,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,45,1
37,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,35,1
52,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
49,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
35,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,1
36,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,45,1
36,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
30,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,1
45,Local-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
58,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,1
54,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,25,1
48,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,1
47,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,1
43,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,1
47,Private,Prof-school,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
62,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,50,1
26,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
61,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,36,1
57,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
33,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,1
46,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,1
45,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
37,Local-gov,Masters,Married-civ-spouse,Protective-serv,Husband,White,Male,50,1
55,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,1
41,Self-emp-not-inc,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,1
41,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,1
35,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
46,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,38,1
47,Private,Masters,Married-civ-spouse,Adm-clerical,Wife,White,Female,38,1
46,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
53,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,1
38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
46,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
43,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,50,1
58,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
31,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,43,1
54,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,40,1
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
54,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
42,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,1
43,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
51,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,1
39,State-gov,Masters,Married-civ-spouse,Prof-specialty,Other-relative,Other,Female,38,1
55,Self-emp-not-inc,10th,Married-civ-spouse,Sales,Husband,White,Male,50,1
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
43,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,53,1
46,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
46,Private,11th,Married-civ-spouse,Other-service,Husband,Black,Male,40,1
49,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,1
60,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1
38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
46,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
39,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,1
37,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,70,1
41,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
54,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,1
42,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
25,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,1
34,Private,Bachelors,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,50,1
51,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,1
40,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
29,Private,Assoc-acdm,Married-civ-spouse,Sales,Wife,Other,Female,45,1
57,Private,12th,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,1
45,Local-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
45,Private,12th,Married-civ-spouse,Sales,Husband,White,Male,40,1
41,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
58,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,30,1
38,Private,12th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,55,1
44,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
47,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,1
44,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
38,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,1
33,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,1
34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
53,Self-emp-not-inc,1st-4th,Married-civ-spouse,Exec-managerial,Husband,White,Male,67,1
51,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,1
50,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,50,1
32,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
42,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,45,1
50,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,55,1
28,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,1
46,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
39,Private,Prof-school,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
37,Private,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,1
40,Private,Bachelors,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,52,1
40,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
41,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,10,1
50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
41,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,43,1
44,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,1
48,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
55,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
48,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
45,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
39,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,20,1
50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
28,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,1
57,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
32,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,1
37,Private,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,1
51,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1
54,Self-emp-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,40,1
37,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,45,1
39,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,32,1
30,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
46,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,96,1
40,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,66,1
38,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,40,1
39,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,1
50,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
60,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
42,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
50,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,45,1
44,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
51,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
47,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,20,1
41,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,1
29,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
46,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,46,1
44,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,1
49,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,66,1
51,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,1
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
54,Private,Masters,Married-civ-spouse,Transport-moving,Husband,White,Male,60,1
60,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,1
40,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,1
54,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
42,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
34,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
34,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,1
56,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
38,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,1
35,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
43,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,1
50,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,1
35,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,1
61,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,1
36,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,50,1
40,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,50,1
49,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,30,1
36,Private,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,50,1
52,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
53,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,1
29,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,54,1
56,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,1
41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,38,1
30,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
58,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,1
45,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,1
52,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,55,1
42,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
38,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
30,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,1
50,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
54,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,1
48,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,1
54,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
46,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
63,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,1
51,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
39,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,52,1
29,Local-gov,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,White,Male,40,1
35,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
41,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,1
38,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,1
39,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,1
40,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
44,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,1
38,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,60,1
47,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,1
37,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,39,1
39,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
28,Local-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,1
33,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,48,1
42,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
32,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
34,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
58,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,30,1
42,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,45,1
39,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
31,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
40,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,44,1
35,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,20,1
34,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,35,0
38,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,40,0
41,Private,HS-grad,Divorced,Transport-moving,Unmarried,White,Male,40,0
35,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,40,0
34,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Female,35,0
37,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,45,1
42,Local-gov,11th,Divorced,Sales,Unmarried,White,Male,50,1
35,Private,Bachelors,Divorced,Tech-support,Unmarried,White,Male,40,1
41,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,36,1
49,State-gov,Masters,Divorced,Prof-specialty,Unmarried,Black,Female,40,1
41,Private,Bachelors,Divorced,Tech-support,Unmarried,Black,Male,45,1
45,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Male,70,1
42,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Unmarried,White,Female,44,1
